holiday,ds
victoria day,2012-05-21
st-jean,2012-06-25
canada day,2012-07-02
labour day,2012-09-03
thanksgiving,2012-10-08
christmas eve,2012-12-24
christmas,2012-12-25
boxing day,2012-12-26
new years eve,2012-12-31
new years day,2013-01-01
day after new years,2013-01-02
good friday,2013-03-29
easter monday,2013-04-01
victoria day,2013-05-20
st-jean,2013-06-24
canada day,2013-07-01
labour day,2013-09-02
thanksgiving,2013-10-14
christmas eve,2013-12-24
christmas,2013-12-25
boxing day,2013-12-26
new years eve,2013-12-31
new years day,2014-01-01
day after new years,2014-01-02
good friday,2014-04-18
easter monday,2014-04-21
victoria day,2014-05-19
st-jean,2014-06-24
canada day,2014-07-01
labour day,2014-09-01
thanksgiving,2014-10-13
christmas eve,2014-12-24
christmas,2014-12-25
boxing day,2014-12-26
new years eve,2014-12-31
new years day,2015-01-01
day after new years,2015-01-02
good friday,2015-04-03
easter monday,2015-04-06
victoria day,2015-05-18
st-jean,2015-06-24
canada day,2015-07-01
labour day,2015-09-07
thanksgiving,2015-10-12
christmas eve,2015-12-24
christmas,2015-12-25
boxing day,2015-12-28
new years eve,2015-12-31
new years day,2016-01-01
day after new years,2016-01-04
good friday,2016-03-25
easter monday,2016-03-28
victoria day,2016-05-23
st-jean,2016-06-24
canada day,2016-07-01
labour day,2016-09-05
thanksgiving,2016-10-10
christmas eve,2016-12-23
christmas,2016-12-26
boxing day,2016-12-27
new years eve,2016-12-30
new years day,2017-01-02
day after new years,2017-01-03
good friday,2017-04-14
easter monday,2017-04-17
victoria day,2017-05-22
st-jean,2017-06-23
canada day,2017-06-30
labour day,2017-09-04
thanksgiving,2017-10-09
christmas eve,2017-12-22
christmas,2017-12-25
boxing day,2017-12-26
new years eve,2017-12-29
new years day,2018-01-01
day after new years,2018-01-02
good friday,2018-03-30
easter monday,2018-04-02
victoria day,2018-05-21
st-jean,2018-06-25
canada day,2018-07-02
labour day,2018-09-03
thanksgiving,2018-10-08
christmas eve,2018-12-24
christmas,2018-12-25
boxing day,2018-12-26
new years eve,2018-12-31
new years day,2019-01-01
day after new years,2019-01-02
good friday,2019-04-19
easter monday,2019-04-22
victoria day,2019-05-20
st-jean,2019-06-24
canada day,2019-07-01
labour day,2019-09-02
thanksgiving,2019-10-14
christmas eve,2019-12-24
christmas,2019-12-25
boxing day,2019-12-26
new years eve,2019-12-31
new years day,2020-01-01
day after new years,2020-01-02
good friday,2020-04-10
easter monday,2020-04-13
victoria day,2020-05-18
st-jean,2020-06-24
canada day,2020-07-01
labour day,2020-09-07
thanksgiving,2020-10-12
christmas eve,2020-12-24
christmas,2020-12-25
boxing day,2020-12-28
new years eve,2020-12-31
new years day,2021-01-01
day after new years,2021-01-04
good friday,2021-04-02
easter monday,2021-04-05
victoria day,2021-05-24
st-jean,2021-06-24
canada day,2021-07-01
labour day,2021-09-06
thanksgiving,2021-10-11
christmas eve,2021-12-24
christmas,2021-12-27
boxing day,2021-12-28
new years eve,2021-12-31
new years day,2022-01-03
day after new years,2022-01-04
good friday,2022-04-15
easter monday,2022-04-18
victoria day,2022-05-23
st-jean,2022-06-24
canada day,2022-07-01
labour day,2022-09-05
thanksgiving,2022-10-10
christmas eve,2022-12-23
christmas,2022-12-26
boxing day,2022-12-27
new years eve,2022-12-30
new years day,2023-01-02
day after new years,2023-01-03
good friday,2023-04-07
easter monday,2023-04-10
