Installation,Taux occupation civières(%),Nombre de civières fonctionnelles,Nombre de patients sur civière,Nombre de patients sur civière +24h,Nombre de patients sur civière +48h,Nombre patients arrivés en ambulance,Nombre inscriptions,Nombre inscriptions avec SAG,date
CHU Sainte-Justine,94,16,15,0,0,16,274,90,2020-01-25
Centre hospitalier de l'Université de Montréal,145,51,74,36,13,48,174,0,2020-01-25
Hôpital Louis-H. Lafontaine,200,12,24,20,15,1,9,0,2020-01-25
Hôpital Santa Cabrini,97,38,37,12,1,38,103,0,2020-01-25
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,115,54,62,18,2,57,194,6,2020-01-25
Centre hospitalier de St. Mary,91,22,20,2,1,25,92,2,2020-01-25
Hôpital de LaSalle,60,15,9,0,0,8,66,0,2020-01-25
Hôpital Douglas,200,6,12,7,0,2,10,0,2020-01-25
Hôpital général du Lakeshore,119,31,37,12,2,25,104,0,2020-01-25
L'Hôpital général juif Sir Mortimer B. Davis,119,53,63,24,11,32,226,5,2020-01-25
Hôpital de Verdun,123,26,32,4,1,30,106,0,2020-01-25
Hôpital Notre-Dame,60,35,21,6,1,40,100,0,2020-01-25
Hôpital du Sacré-Coeur de Montréal,115,46,53,27,8,39,173,3,2020-01-25
Hôpital Fleury,100,18,18,5,0,21,89,8,2020-01-25
Hôpital Jean-Talon,68,22,15,1,0,22,100,5,2020-01-25
Pavillon Albert-Prévost,131,13,17,10,5,0,7,0,2020-01-25
Hôpital de Lachine,93,14,13,3,1,8,39,0,2020-01-25
Hôpital général de Montréal,119,31,37,18,9,29,84,0,2020-01-25
Hôpital Royal Victoria,155,33,51,34,15,24,108,3,2020-01-25
L'hôpital de Montréal pour enfants,33,12,4,0,0,15,230,24,2020-01-25
Institut de cardiologie de Montréal,59,22,13,3,1,8,35,0,2020-01-25
CHU Sainte-Justine,131,16,21,0,0,8,261,112,2020-01-26
Centre hospitalier de l'Université de Montréal,139,51,71,26,9,50,149,0,2020-01-26
Hôpital Louis-H. Lafontaine,175,12,21,20,17,0,6,0,2020-01-26
Hôpital Santa Cabrini,89,38,34,11,3,34,95,0,2020-01-26
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,137,54,74,32,6,51,156,3,2020-01-26
Centre hospitalier de St. Mary,68,22,15,1,0,23,91,1,2020-01-26
Hôpital de LaSalle,87,15,13,1,0,8,64,0,2020-01-26
Hôpital Douglas,250,6,15,12,7,0,5,0,2020-01-26
Hôpital général du Lakeshore,126,31,39,11,3,19,93,0,2020-01-26
L'Hôpital général juif Sir Mortimer B. Davis,162,53,86,22,11,37,222,6,2020-01-26
Hôpital de Verdun,115,26,30,2,0,33,114,0,2020-01-26
Hôpital Notre-Dame,91,35,32,3,2,37,117,0,2020-01-26
Hôpital du Sacré-Coeur de Montréal,122,46,56,19,12,34,174,3,2020-01-26
Hôpital Fleury,94,18,17,5,0,17,84,9,2020-01-26
Hôpital Jean-Talon,95,22,21,6,0,23,110,9,2020-01-26
Pavillon Albert-Prévost,115,13,15,10,6,1,10,0,2020-01-26
Hôpital de Lachine,71,14,10,3,0,12,55,0,2020-01-26
Hôpital général de Montréal,123,31,38,23,15,30,83,2,2020-01-26
Hôpital Royal Victoria,133,33,44,34,24,21,101,1,2020-01-26
L'hôpital de Montréal pour enfants,117,12,14,0,0,5,252,18,2020-01-26
Institut de cardiologie de Montréal,68,22,15,4,2,3,42,0,2020-01-26
CHU Sainte-Justine,100,16,16,0,0,14,276,90,2020-01-27
Centre hospitalier de l'Université de Montréal,147,51,75,26,7,43,226,0,2020-01-27
Hôpital Louis-H. Lafontaine,200,12,24,14,13,2,28,0,2020-01-27
Hôpital Santa Cabrini,79,38,30,8,1,38,124,0,2020-01-27
Pavillon Maisonneuve/Pavillon Marcel-Lamoureux,124,54,67,16,2,57,228,2,2020-01-27
Centre hospitalier de St. Mary,100,22,22,1,0,21,122,2,2020-01-27
Hôpital de LaSalle,153,15,23,1,0,13,92,0,2020-01-27
Hôpital Douglas,217,6,13,8,6,1,16,0,2020-01-27
Hôpital général du Lakeshore,174,31,54,10,3,29,134,0,2020-01-27
L'Hôpital général juif Sir Mortimer B. Davis,168,53,89,16,8,50,287,4,2020-01-27
Hôpital de Verdun,173,26,45,12,0,35,136,0,2020-01-27
Hôpital Notre-Dame,117,35,41,3,0,42,131,0,2020-01-27
Hôpital du Sacré-Coeur de Montréal,133,46,61,18,9,46,217,11,2020-01-27
Hôpital Fleury,111,18,20,2,0,23,111,8,2020-01-27
Hôpital Jean-Talon,95,22,21,5,1,22,114,10,2020-01-27
Pavillon Albert-Prévost,62,13,8,5,4,0,8,0,2020-01-27
